Timestamp,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night?,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,"11. How often do you use electronic devices (e.g., phone, computer) before going to sleep?","12. How often do you consume caffeine (coffee, energy drinks) to stay awake or alert?",13. How often do you engage in physical activity or exercise?,14. How would you describe your stress levels related to academic workload?,15. How would you rate your overall academic performance (GPA or grades) in the past semester?
10/24/2024 19:29:34,3,1,5.5,7.5,5.5,4,7.0,7.0,7.0,3,5.5,5.5,5.5,3,1
10/24/2024 19:29:53,4,0,7.0,7.5,7.0,4,5.0,7.0,7.0,4,7.0,7.0,5.5,3,1
10/24/2024 19:30:35,4,1,7.0,7.5,7.0,2,7.0,3.0,7.0,3,5.5,7.0,5.5,1,1
10/24/2024 19:30:52,3,0,5.5,7.5,7.0,2,3.0,3.0,4.5,3,5.5,5.5,7.0,3,0
10/24/2024 19:31:12,4,1,7.0,8.5,5.5,4,5.0,7.0,4.5,3,5.5,7.0,5.5,3,1
10/24/2024 19:32:25,3,1,7.0,8.5,7.0,3,7.0,5.0,2.5,3,7.0,5.5,5.5,2,0
10/24/2024 19:33:02,4,0,7.0,8.5,7.0,3,5.0,3.0,7.0,2,5.5,7.0,5.5,2,0
10/24/2024 19:33:38,4,0,5.5,7.5,5.5,3,7.0,5.0,4.5,2,3.5,5.5,5.5,2,1
10/24/2024 19:34:01,3,0,7.0,7.5,5.5,4,5.0,5.0,7.0,3,5.5,5.5,7.0,1,1
10/24/2024 19:34:44,4,0,5.5,8.5,7.0,4,5.0,5.0,7.0,4,3.5,3.5,5.5,0,1
10/24/2024 19:35:16,3,1,7.0,7.5,7.0,4,3.0,3.0,4.5,4,3.5,7.0,3.5,2,1
10/24/2024 19:36:18,4,1,5.5,8.5,7.0,3,7.0,7.0,2.5,3,3.5,5.5,7.0,2,0
10/24/2024 19:36:37,2,1,7.0,8.5,7.0,3,5.0,7.0,7.0,1,5.5,7.0,3.5,2,1
10/24/2024 19:36:55,2,1,0.0,7.5,5.5,3,5.0,5.0,2.5,1,7.0,5.5,3.5,2,1
10/24/2024 19:37:16,4,1,5.5,8.5,7.0,3,7.0,7.0,7.0,3,5.5,7.0,5.5,3,1
10/24/2024 19:38:52,3,0,7.0,7.5,3.5,4,5.0,7.0,4.5,2,5.5,5.5,7.0,2,1
10/24/2024 19:39:15,3,0,5.5,7.5,7.0,3,5.0,5.0,7.0,4,3.5,7.0,3.5,3,0
10/24/2024 19:39:38,4,1,5.5,8.5,5.5,3,5.0,7.0,2.5,1,3.5,3.5,7.0,3,1
10/24/2024 19:40:05,4,0,5.5,7.5,7.0,3,3.0,3.0,4.5,3,7.0,5.5,7.0,1,0
10/24/2024 19:40:29,3,1,5.5,8.5,5.5,4,5.0,7.0,7.0,3,5.5,5.5,7.0,1,1
10/24/2024 19:41:29,4,1,3.5,7.5,7.0,4,7.0,7.0,0.3,3,5.5,7.0,7.0,3,1
10/24/2024 19:41:52,3,1,7.0,7.5,5.5,3,1.0,3.0,4.5,1,5.5,5.5,3.5,2,1
10/24/2024 19:43:37,2,0,5.5,7.5,7.0,4,5.0,5.0,4.5,3,5.5,3.5,7.0,2,0
